TARGETID,Z,LOGMSTAR,HALPHA_FLUX,HALPHA_BD
39628028912864521,0.2404645898,9.6047726,100.30201,3.3654814
39627779536324509,0.03654239322,8.4575901,182.00493,2.9844306
39627473247275816,0.2370551848,10.033545,105.17439,4.3658929
39627379932399007,0.09802748938,9.8845701,755.79956,3.9124167
39627929633687351,0.1392904926,9.7340546,156.10942,3.8568306
39628302498923404,0.1425427953,9.3865671,46.810688,4.5851693
39627794656791323,0.08180722059,9.2446156,196.66786,3.4843502
39627734036516779,0.1292980821,9.501729,89.931496,3.2820091
39627781138548363,0.08942778686,8.8843555,41.839973,3.7873495
39628273725997944,0.2423691616,9.6165924,120.34973,3.5617204
39627751707118982,0.2134350659,10.811121,70.846054,4.0398412
39627949602769974,0.11049677,9.8953962,358.84137,4.55164
39627624288358000,0.3373205425,11.113997,64.259079,5.5438523
39633474323218916,0.1512326011,9.4501352,77.693085,3.6864281
39633047921886847,0.06420871026,8.4809065,48.793068,2.8599999
39627956900859224,0.1702317483,9.3486271,123.32834,3.7795386
39627613538356144,0.2487072644,10.879762,107.18895,7.5950708
39627333962831860,0.2901769983,10.542901,85.117065,7.0892892
39627883949330355,0.2086663287,10.239996,56.483902,4.0109754
39628279698688467,0.2000137633,9.7331591,45.496689,3.2699292
39633508997530047,0.1637150949,10.098866,100.57143,4.6918459
39627836767601966,0.3610129406,10.29614,76.232727,3.9409032
39632944846866728,0.07244428192,8.9904175,152.72675,2.9552245
39627732740476695,0.09043330989,10.159431,256.69702,7.322453
39627660548114718,0.3298701992,10.606946,128.02939,4.0210214
39627642722325032,0.1744053162,9.2846012,105.66385,3.175344
39633329015753101,0.3844323729,10.001627,122.4673,4.0158911
39633378672118205,0.2240876483,10.687691,235.74007,5.9525499
39627606307376774,0.1354285935,9.8595629,74.560608,3.7041113
39627962722550351,0.2347993829,10.352489,83.747459,4.6914163
39632971593941637,0.2271226104,10.264986,116.83105,4.5439816
39627932850720078,0.09937544774,9.3497095,97.395821,3.3061643
39627889703915308,0.08303272493,8.7449732,175.36145,3.472363
39627580898282570,0.3716632007,10.645273,82.42823,5.3700156
39628522733441419,0.1949221428,9.600729,68.7939,3.2898862
39627769927174852,0.3169587428,9.7087574,171.8374,3.322437
39633450629598107,0.09622190951,9.2507935,83.672874,2.8599999
39632946767858673,0.09852742253,10.240237,183.59143,3.7737782
39627886574964480,0.1497621016,10.050976,64.621422,3.054481
39627514229822162,0.2505766746,10.105041,84.592651,3.7991457
39632974953581227,0.1228617729,9.5173178,179.76518,3.8951678
39628502391065154,0.246077889,9.8229961,60.760208,4.1001945
39627860708690757,0.215726761,10.232244,123.63345,4.0275083
39627678508127598,0.2071523527,10.419289,80.586929,3.2997866
39633483856873898,0.09179452081,9.1852455,75.964745,2.8599999
39628009975583054,0.1854128417,9.7340002,133.85294,3.680912
39628521626145363,0.1740047925,9.6728907,85.29406,2.8599999
39633529159551197,0.1070968439,9.4368286,108.35665,3.2694397
39628414625253073,0.09765486545,10.277205,2158.1235,4.6720304
39633215450778063,0.0423243072,10.421287,130.98991,3.9255798
39628092540453202,0.0791906375,8.5412083,54.97049,3.0105402
39627766856946437,0.2609919848,10.807616,137.31862,4.2660093
